"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"Austria","AVWAGE","TOT","USD","A","2017",50348
"Belgium","AVWAGE","TOT","USD","A","2017",49674
"Czech Republic","AVWAGE","TOT","USD","A","2017",25372
"Denmark","AVWAGE","TOT","USD","A","2017",51466
"Finland","AVWAGE","TOT","USD","A","2017",42963
"France","AVWAGE","TOT","USD","A","2017",43755
"Germany","AVWAGE","TOT","USD","A","2017",47585
"Greece","AVWAGE","TOT","USD","A","2017",26064
"Hungary","AVWAGE","TOT","USD","A","2017",22575
"Ireland","AVWAGE","TOT","USD","A","2017",47652
"Italy","AVWAGE","TOT","USD","A","2017",36658
"Luxembourg","AVWAGE","TOT","USD","A","2017",63062
"Netherlands","AVWAGE","TOT","USD","A","2017",52876
"Poland","AVWAGE","TOT","USD","A","2017",27046
"Portugal","AVWAGE","TOT","USD","A","2017",25366
"Slovakia","AVWAGE","TOT","USD","A","2017",24327
"Spain","AVWAGE","TOT","USD","A","2017",38507
"Sweden","AVWAGE","TOT","USD","A","2017",42392
"United Kingdom","AVWAGE","TOT","USD","A","2017",43731
"Estonia","AVWAGE","TOT","USD","A","2017",24335
"Slovenia","AVWAGE","TOT","USD","A","2017",34932
"Latvia","AVWAGE","TOT","USD","A","2017",23683
"Lithuania","AVWAGE","TOT","USD","A","2017",24286
